GTDB R95 family	Number of genomes	Number of NCBI families	List of NCBI families
f__LD1	8	1	f__(o__Burkholderiales) 100.0%
f__UBA2359	8	1	f__(o__Burkholderiales) 100.0%
f__UBA4765	8	1	f__(o__Burkholderiales) 100.0%
f__Tindalliaceae	8	1	f__Clostridiaceae(o__Clostridiales) 100.0%
f__UBA998	8	1	f__(o__Burkholderiales) 100.0%
f__UBA10575	8	1	f__(o__Burkholderiales) 100.0%
f__UBA2968	8	1	f__(o__Burkholderiales) 100.0%
f__UBA796	8	1	f__(o__Burkholderiales) 100.0%
f__UBA917	8	1	f__(o__Burkholderiales) 100.0%
f__PHOS-HE28	8	1	f__(o__Burkholderiales) 100.0%
f__UBA6164	8	1	f__(o__Burkholderiales) 100.0%
f__GCA-002719695	8	1	f__(o__Burkholderiales) 100.0%
f__GCA-002707645	8	1	f__(o__Burkholderiales) 100.0%
f__Monoglobaceae	8	1	f__(o__Burkholderiales) 100.0%
f__Bog-877	8	1	f__(o__Burkholderiales) 100.0%
f__Rubrobacteraceae	8	2	f__Rubrobacteraceae 87.5%, f__(o__Burkholderiales) 12.5%
f__Hydrogenophilaceae	8	2	f__Hydrogenophilaceae(o__Hydrogenophilales) 87.5%, f__Rhodocyclaceae(o__Rhodocyclales) 12.5%
f__Nakamurellaceae	8	2	f__Nakamurellaceae(o__Nakamurellales) 87.5%, f__(o__Burkholderiales) 12.5%
f__SM23-35	8	2	f__(o__Burkholderiales) 87.5%, f__Nitrospiraceae(o__Nitrospirales) 12.5%
f__UBA6522	8	2	f__(o__Burkholderiales) 87.5%, f__Rhodospirillaceae(o__Rhodospirillales) 12.5%
f__UBA4427	8	2	f__(o__Burkholderiales) 87.5%, f__Spirochaetaceae(o__Spirochaetales) 12.5%
f__UBA1390	8	2	f__(o__Burkholderiales) 87.5%, f__Lachnospiraceae(o__Clostridiales) 12.5%
f__Acidimicrobiaceae	8	2	f__Acidimicrobiaceae 75.0%, f__(o__Burkholderiales) 25.0%
f__UBA8639	8	2	f__(o__Burkholderiales) 75.0%, f__Nitrospiraceae 25.0%
f__Promineofilaceae	8	3	f__(o__Burkholderiales) 75.0%, f__Ardenticatenaceae(o__Ardenticatenales) 12.5%, f__Anaerolineaceae(o__Anaerolineales) 12.5%
f__UBA5680	8	2	f__(o__Burkholderiales) 75.0%, f__Acidiferrobacteraceae(o__Acidiferrobacterales) 25.0%
f__CAG-433	8	2	f__(o__Burkholderiales) 75.0%, f__Clostridiaceae(o__Clostridiales) 25.0%
f__Methylopilaceae	8	4	f__Methylocystaceae 62.5%, f__(o__Burkholderiales) 12.5%, f__Xanthobacteraceae 12.5%, f__Rhizobiaceae 12.5%
f__Coleofasciculaceae	8	4	f__Oscillatoriaceae(o__Oscillatoriales) 62.5%, f__Coleofasciculaceae(o__Oscillatoriales) 12.5%, f__Microcoleaceae(o__Oscillatoriales) 12.5%, f__(o__Burkholderiales) 12.5%
f__Casp-alpha2	8	2	f__(o__Burkholderiales) 62.5%, f__Rhodospirillaceae 37.5%
f__Fusibacteraceae	8	2	f__(o__Burkholderiales) 62.5%, f__Clostridiales Family XII. Incertae Sedis(o__Clostridiales) 37.5%
f__UBA1163	8	2	f__Syntrophaceae(o__Syntrophobacterales) 62.5%, f__(o__Burkholderiales) 37.5%
f__UBA2964	8	2	f__Rhodospirillaceae(o__Rhodospirillales) 62.5%, f__(o__Burkholderiales) 37.5%
f__Caldilineaceae	8	2	f__Caldilineaceae 50.0%, f__(o__Burkholderiales) 50.0%
f__UBA7805	8	2	f__Planctomycetaceae(o__Planctomycetales) 50.0%, f__(o__Burkholderiales) 50.0%
f__Thiohalomonadaceae	8	3	f__(o__Burkholderiales) 50.0%, f__Ectothiorhodospiraceae(o__Chromatiales) 37.5%, f__Thioalkalispiraceae(o__Chromatiales) 12.5%
f__UBA11386	8	2	f__Planctomycetaceae(o__Planctomycetales) 50.0%, f__(o__Burkholderiales) 50.0%
f__HIMB59	7	1	f__Pelagibacteraceae(o__Pelagibacterales) 100.0%
f__Thermotaleaceae	7	1	f__Clostridiaceae(o__Clostridiales) 100.0%
f__Desulfotomaculaceae_A	7	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__Thermosinaceae	7	1	f__Sporomusaceae(o__Selenomonadales) 100.0%
f__SM23-33	7	1	f__(o__Burkholderiales) 100.0%
f__HO2-52-23	7	1	f__(o__Burkholderiales) 100.0%
f__GWA2-47-26	7	1	f__(o__Burkholderiales) 100.0%
f__CAG-465	7	1	f__Clostridiaceae(o__Clostridiales) 100.0%
f__Kapabacteriaceae	7	1	f__(o__Burkholderiales) 100.0%
f__Aeribacillaceae	7	1	f__Bacillaceae 100.0%
f__DTU065	7	1	f__(o__Burkholderiales) 100.0%
f__SCN-69-37	7	1	f__(o__Burkholderiales) 100.0%
f__Anaerobacillaceae	7	1	f__Bacillaceae 100.0%
f__XYB2-FULL-49-35	7	1	f__(o__Burkholderiales) 100.0%
f__UBA8919	7	1	f__(o__Burkholderiales) 100.0%
f__UBA11359_C	7	1	f__(o__Burkholderiales) 100.0%
f__SPLOWO2-01-44-7	7	1	f__(o__Burkholderiales) 100.0%
f__CG2-30-70-394	7	1	f__(o__Burkholderiales) 100.0%
f__UBA2268	7	1	f__(o__Burkholderiales) 100.0%
f__XYC2-FULL-37-10	7	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-50-16-A	7	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-45-10	7	1	f__(o__Burkholderiales) 100.0%
f__UBA5550	7	1	f__(o__Burkholderiales) 100.0%
f__GWF2-39-127	7	1	f__(o__Burkholderiales) 100.0%
f__UBA9628	7	1	f__(o__Burkholderiales) 100.0%
f__CG2-30-33-46	7	1	f__(o__Burkholderiales) 100.0%
f__LOWO2-01-FULL-3	7	1	f__(o__Burkholderiales) 100.0%
f__UBA6264	7	1	f__(o__Burkholderiales) 100.0%
f__UBA1572	7	1	f__(o__Burkholderiales) 100.0%
f__RBG-16-64-32	7	1	f__(o__Burkholderiales) 100.0%
f__2013-40CM-41-45	7	1	f__(o__Burkholderiales) 100.0%
f__2013Ark19i	7	1	f__ 100.0%
f__UBA2798	7	1	f__(o__Burkholderiales) 100.0%
f__UBA2128	7	1	f__(o__Burkholderiales) 100.0%
f__UBA920	7	1	f__(o__Burkholderiales) 100.0%
f__UBA2207	7	1	f__Syntrophaceae(o__Syntrophobacterales) 100.0%
f__UBA8363	7	1	f__(o__Burkholderiales) 100.0%
f__UBA4738	7	1	f__(o__Burkholderiales) 100.0%
f__Saccharicenantaceae	7	1	f__(o__Burkholderiales) 100.0%
f__UBA961	7	1	f__(o__Burkholderiales) 100.0%
f__UBA2185	7	1	f__Syntrophaceae(o__Syntrophobacterales) 100.0%
f__UBA5794	7	1	f__(o__Burkholderiales) 100.0%
f__UBA1429	7	1	f__(o__Burkholderiales) 100.0%
f__Palsa-688	7	1	f__Acidimicrobiaceae 100.0%
f__SZUA-252	7	1	f__(o__Burkholderiales) 100.0%
f__SLSP01	7	1	f__(o__Burkholderiales) 100.0%
f__NS-4	7	1	f__(o__Burkholderiales) 100.0%
f__DP-6	7	1	f__(o__Burkholderiales) 100.0%
f__Desulfovirgulaceae	7	2	f__Peptococcaceae(o__Clostridiales) 85.71%, f__Thermoanaerobacteraceae(o__Thermoanaerobacterales) 14.29%
f__Nitrococcaceae	7	2	f__Ectothiorhodospiraceae(o__Chromatiales) 85.71%, f__(o__Burkholderiales) 14.29%
f__Rhodomicrobiaceae	7	2	f__Hyphomicrobiaceae 85.71%, f__(o__Burkholderiales) 14.29%
f__Psychromonadaceae_A	7	2	f__Alteromonadaceae(o__Alteromonadales) 85.71%, f__Celerinatantimonadaceae(o__) 14.29%
f__Terrimicrobiaceae	7	2	f__(o__Burkholderiales) 85.71%, f__Verrucomicrobiaceae(o__Verrucomicrobiales) 14.29%
f__Ozemobacteraceae	7	2	f__(o__Burkholderiales) 85.71%, f__Candidatus Ozemobacteraceae(o__) 14.29%
f__Magnetobacteriaceae	7	2	f__(o__Burkholderiales) 85.71%, f__Nitrospiraceae(o__Nitrospirales) 14.29%
f__B-17BO	7	2	f__(o__Burkholderiales) 85.71%, f__Sphingobacteriaceae(o__Sphingobacteriales) 14.29%
f__SLCP01	7	2	f__(o__Burkholderiales) 85.71%, f__Coriobacteriaceae(o__Coriobacteriales) 14.29%
f__Rhodothermaceae	7	2	f__Rhodothermaceae(o__Bacteroidetes Order II. Incertae sedis) 71.43%, f__(o__Burkholderiales) 28.57%
f__CAG-274	7	3	f__Eubacteriaceae(o__Clostridiales) 71.43%, f__(o__Burkholderiales) 14.29%, f__Lachnospiraceae(o__Clostridiales) 14.29%
f__HDB-SIOI813	7	2	f__(o__Burkholderiales) 71.43%, f__Nitrospiraceae(o__Nitrospirales) 28.57%
f__DTU072	7	2	f__Catabacteriaceae(o__Clostridiales) 71.43%, f__(o__Burkholderiales) 28.57%
f__UBA7887	7	2	f__(o__Burkholderiales) 71.43%, f__Rhodospirillaceae(o__Rhodospirillales) 28.57%
f__Desulforudaceae	7	3	f__Peptococcaceae(o__Clostridiales) 57.14%, f__(o__Burkholderiales) 28.57%, f__Clostridiaceae(o__Clostridiales) 14.29%
f__Roseiflexaceae	7	2	f__Roseiflexaceae 57.14%, f__(o__Burkholderiales) 42.86%
f__Caldicoprobacteraceae	7	2	f__(o__Burkholderiales) 57.14%, f__Caldicoprobacteraceae(o__Clostridiales) 42.86%
f__UBA2156	7	2	f__Desulfobacteraceae 57.14%, f__(o__Burkholderiales) 42.86%
f__GCA-002720895	7	2	f__(o__Burkholderiales) 57.14%, f__Pelagibacteraceae(o__Pelagibacterales) 42.86%
f__SKNC01	7	2	f__Syntrophomonadaceae(o__Clostridiales) 57.14%, f__(o__Burkholderiales) 42.86%
f__SKOM01	7	2	f__Candidatus Competibacteraceae(o__) 57.14%, f__(o__Burkholderiales) 42.86%
f__PWKH01	7	2	f__(o__Burkholderiales) 57.14%, f__Spirochaetaceae 42.86%
f__Elainellaceae	7	3	f__(o__Burkholderiales) 42.86%, f__Leptolyngbyaceae(o__Synechococcales) 42.86%, f__Oculatellaceae(o__Synechococcales) 14.29%
f__Xenococcaceae	7	4	f__Hyellaceae(o__Pleurocapsales) 42.86%, f__Dermocarpellaceae(o__Pleurocapsales) 28.57%, f__Xenococcaceae(o__Pleurocapsales) 14.29%, f__Chroococcaceae(o__Chroococcales) 14.29%
f__Thermicanaceae	7	4	f__Bacillaceae(o__Bacillales) 42.86%, f__Thermoanaerobacteraceae(o__Thermoanaerobacterales) 28.57%, f__Bacillales Family X. Incertae Sedis(o__Bacillales) 14.29%, f__(o__Burkholderiales) 14.29%
f__Granulosicoccaceae	7	3	f__(o__Burkholderiales) 42.86%, f__Halothiobacillaceae(o__Chromatiales) 42.86%, f__Granulosicoccaceae(o__Chromatiales) 14.29%
f__Acetomicrobiaceae	6	1	f__Synergistaceae 100.0%
f__Acetohalobiaceae	6	1	f__Halobacteroidaceae(o__Halanaerobiales) 100.0%
f__Vermiphilaceae	6	1	f__(o__Burkholderiales) 100.0%
f__UBA12409	6	1	f__(o__Burkholderiales) 100.0%
f__GWF2-35-18	6	1	f__(o__Burkholderiales) 100.0%
f__UBA9988	6	1	f__(o__Burkholderiales) 100.0%
f__SG8-24	6	1	f__(o__Burkholderiales) 100.0%
f__Dethiosulfatibacteraceae	6	1	f__(o__Burkholderiales) 100.0%
f__Methylomirabilaceae	6	1	f__(o__Burkholderiales) 100.0%
f__OLB10	6	1	f__(o__Burkholderiales) 100.0%
f__Aminicenantaceae	6	1	f__(o__Burkholderiales) 100.0%
f__Ga0077560	6	1	f__(o__Burkholderiales) 100.0%
f__WGA-3G	6	1	f__(o__Burkholderiales) 100.0%
f__Phreatobacteraceae	6	1	f__(o__Burkholderiales) 100.0%
f__UBA8229	6	1	f__(o__Burkholderiales) 100.0%
f__XYD1-FULL-46-19	6	1	f__(o__Burkholderiales) 100.0%
f__UBA2774	6	1	f__(o__Burkholderiales) 100.0%
f__XYC2-FULL-38-9	6	1	f__(o__Burkholderiales) 100.0%
f__CG2-30-39-44	6	1	f__(o__Burkholderiales) 100.0%
f__GWA2-38-11	6	1	f__(o__Burkholderiales) 100.0%
f__CG2-30-53-67	6	1	f__(o__Burkholderiales) 100.0%
f__UBA9579	6	1	f__(o__Burkholderiales) 100.0%
f__XYC2-FULL-35-21	6	1	f__(o__Burkholderiales) 100.0%
f__UBA12420	6	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-40-11	6	1	f__(o__Burkholderiales) 100.0%
f__GWF2-33-38	6	1	f__(o__Burkholderiales) 100.0%
f__UBA1556	6	1	f__(o__Burkholderiales) 100.0%
f__M10-OD1-4	6	1	f__(o__Burkholderiales) 100.0%
f__CG1-02-43-26	6	1	f__(o__Burkholderiales) 100.0%
f__UBA3470	6	1	f__Rhodospirillaceae 100.0%
f__Tagabacteraceae	6	1	f__(o__Burkholderiales) 100.0%
f__UBA1177	6	1	f__(o__Burkholderiales) 100.0%
f__UBA2199	6	1	f__(o__Burkholderiales) 100.0%
f__LZORAL124-64-63	6	1	f__(o__Burkholderiales) 100.0%
f__GCA-002716945	6	1	f__(o__Burkholderiales) 100.0%
f__AG-339-G14	6	1	f__(o__Burkholderiales) 100.0%
f__UBA7430	6	1	f__(o__Burkholderiales) 100.0%
f__UBA816	6	1	f__(o__Burkholderiales) 100.0%
f__UBA2242	6	1	f__(o__Burkholderiales) 100.0%
f__UBA8416	6	1	f__(o__Burkholderiales) 100.0%
f__GCA-002687715	6	1	f__(o__Burkholderiales) 100.0%
f__UBA644	6	1	f__(o__Burkholderiales) 100.0%
f__Palsa-1439	6	1	f__(o__Burkholderiales) 100.0%
f__ZC4RG35	6	1	f__(o__Burkholderiales) 100.0%
f__QALW01	6	1	f__(o__Burkholderiales) 100.0%
f__SKZT01	6	1	f__Desulfobacteraceae 100.0%
f__SLHB01	6	1	f__(o__Burkholderiales) 100.0%
f__Cytophagaceae	6	2	f__Cytophagaceae 83.33%, f__(o__Burkholderiales) 16.67%
f__Ga0077536	6	2	f__(o__Burkholderiales) 83.33%, f__Methylococcaceae(o__Methylococcales) 16.67%
f__Ga0077529	6	2	f__Planctomycetaceae(o__Planctomycetales) 83.33%, f__(o__Burkholderiales) 16.67%
f__UBA5542	6	2	f__(o__Burkholderiales) 83.33%, f__Holosporaceae(o__Holosporales) 16.67%
f__UBA3002	6	2	f__(o__Burkholderiales) 83.33%, f__Rhodospirillaceae(o__Rhodospirillales) 16.67%
f__UBA2020	6	2	f__(o__Burkholderiales) 83.33%, f__Rhodospirillaceae(o__Rhodospirillales) 16.67%
f__T3Sed10-241	6	2	f__(o__Burkholderiales) 83.33%, f__Cryomorphaceae 16.67%
f__Jatrophihabitantaceae	6	2	f__Frankiaceae(o__Frankiales) 66.67%, f__(o__Burkholderiales) 33.33%
f__UBA828	6	2	f__(o__Burkholderiales) 66.67%, f__Rhodospirillaceae(o__Rhodospirillales) 33.33%
f__CG2-30-51-40	6	2	f__(o__Burkholderiales) 66.67%, f__Desulfobacteraceae(o__Desulfobacterales) 33.33%
f__Haliangiaceae	6	3	f__(o__Burkholderiales) 66.67%, f__Kofleriaceae(o__Myxococcales) 16.67%, f__Nannocystaceae(o__Myxococcales) 16.67%
f__UBA5734	6	2	f__(o__Burkholderiales) 66.67%, f__Hungateiclostridiaceae(o__Clostridiales) 33.33%
f__Midichloriaceae	6	3	f__Candidatus Midichloriaceae 50.0%, f__(o__Burkholderiales) 33.33%, f__Holosporaceae(o__Holosporales) 16.67%
f__Tepidimicrobiaceae	6	3	f__(o__Burkholderiales) 50.0%, f__Tissierellaceae 33.33%, f__Clostridiaceae(o__Clostridiales) 16.67%
f__Desulfuromonadaceae	6	3	f__Desulfuromonadaceae 50.0%, f__Desulfobacteraceae(o__Desulfobacterales) 33.33%, f__(o__Burkholderiales) 16.67%
f__Thermoguttaceae	6	2	f__Planctomycetaceae(o__Planctomycetales) 50.0%, f__(o__Burkholderiales) 50.0%
f__Desulfatirhabdiaceae	5	1	f__Desulfobacteraceae 100.0%
f__Bacillaceae_F	5	1	f__Bacillaceae 100.0%
f__Caloranaerobacteraceae	5	1	f__Clostridiaceae(o__Clostridiales) 100.0%
f__Desulfococcaceae	5	1	f__Desulfobacteraceae 100.0%
f__Actinopolymorphaceae	5	1	f__Nocardioidaceae 100.0%
f__Tistrellaceae	5	1	f__Rhodospirillaceae(o__Rhodospirillales) 100.0%
f__Tumebacillaceae	5	1	f__Alicyclobacillaceae(o__Bacillales) 100.0%
f__GWC2-36-17	5	1	f__(o__Burkholderiales) 100.0%
f__SM23-42	5	1	f__(o__Burkholderiales) 100.0%
f__GWF2-33-10	5	1	f__(o__Burkholderiales) 100.0%
f__WO2-44-18	5	1	f__(o__Burkholderiales) 100.0%
f__RVW-14	5	1	f__(o__Burkholderiales) 100.0%
f__GWA2-43-13	5	1	f__(o__Burkholderiales) 100.0%
f__TCS61	5	1	f__(o__Burkholderiales) 100.0%
f__UBA10003	5	1	f__(o__Burkholderiales) 100.0%
f__BACL12	5	1	f__(o__Burkholderiales) 100.0%
f__46-47	5	1	f__(o__Burkholderiales) 100.0%
f__AcAMD-5	5	1	f__(o__Burkholderiales) 100.0%
f__Desulfocucumaceae	5	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__DTU084	5	1	f__(o__Burkholderiales) 100.0%
f__DTU012	5	1	f__(o__Burkholderiales) 100.0%
f__UKL13-3	5	1	f__(o__Burkholderiales) 100.0%
f__Acidibacillaceae	5	1	f__(o__Burkholderiales) 100.0%
f__SPGG2	5	1	f__(o__Burkholderiales) 100.0%
f__DSM-9756	5	1	f__Syntrophobacteraceae 100.0%
f__UBA4823	5	1	f__(o__Burkholderiales) 100.0%
f__HO2-48-17	5	1	f__(o__Burkholderiales) 100.0%
f__UBA10110	5	1	f__(o__Burkholderiales) 100.0%
f__UBA1551	5	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-40-12	5	1	f__(o__Burkholderiales) 100.0%
f__UBA6215	5	1	f__(o__Burkholderiales) 100.0%
f__UBA2162	5	1	f__(o__Burkholderiales) 100.0%
f__XYD2-FULL-50-16	5	1	f__(o__Burkholderiales) 100.0%
f__20CM-2-55-15	5	1	f__(o__Burkholderiales) 100.0%
f__2-12-FULL-66-21	5	1	f__(o__Burkholderiales) 100.0%
f__2-12-FULL-60-25	5	1	f__(o__Burkholderiales) 100.0%
f__CG2-30-40-21	5	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-44-16	5	1	f__(o__Burkholderiales) 100.0%
f__UBA2337	5	1	f__(o__Burkholderiales) 100.0%
f__UBA1558	5	1	f__(o__Burkholderiales) 100.0%
f__UBA10183	5	1	f__(o__Burkholderiales) 100.0%
f__70-9	5	1	f__(o__Burkholderiales) 100.0%
f__RBG-16-71-46	5	1	f__(o__Burkholderiales) 100.0%
f__13-1-40CM-64-14	5	1	f__(o__Burkholderiales) 100.0%
f__Carboxydocellaceae	5	1	f__Clostridiales Family XVI. Incertae Sedis(o__Clostridiales) 100.0%
f__UBA7694	5	1	f__(o__Burkholderiales) 100.0%
f__JdFR-85	5	1	f__(o__Burkholderiales) 100.0%
f__TMED161	5	1	f__(o__Burkholderiales) 100.0%
f__4484-219	5	1	f__(o__Burkholderiales) 100.0%
f__TMED6	5	1	f__(o__Burkholderiales) 100.0%
f__4484-171	5	1	f__(o__Burkholderiales) 100.0%
f__SSS58A	5	1	f__(o__Burkholderiales) 100.0%
f__UBA4479	5	1	f__Rhodospirillaceae 100.0%
f__UBA2962	5	1	f__(o__Burkholderiales) 100.0%
f__UBA2136	5	1	f__(o__Burkholderiales) 100.0%
f__UBA2192	5	1	f__Syntrophaceae(o__Syntrophobacterales) 100.0%
f__UBA6126	5	1	f__(o__Burkholderiales) 100.0%
f__UBA5518	5	1	f__(o__Burkholderiales) 100.0%
f__UBA2386	5	1	f__(o__Burkholderiales) 100.0%
f__UBA4664	5	1	f__(o__Burkholderiales) 100.0%
f__UBA7916	5	1	f__(o__Burkholderiales) 100.0%
f__UBA8649	5	1	f__(o__Burkholderiales) 100.0%
f__UBA4151	5	1	f__(o__Burkholderiales) 100.0%
f__UBA9042	5	1	f__(o__Burkholderiales) 100.0%
f__UBA1820	5	1	f__(o__Burkholderiales) 100.0%
f__UBA8108	5	1	f__(o__Burkholderiales) 100.0%
f__GCA-2729495	5	1	f__(o__Burkholderiales) 100.0%
f__UBA8558	5	1	f__(o__Burkholderiales) 100.0%
f__UBA10348	5	1	f__(o__Burkholderiales) 100.0%
f__AG-422-B15	5	1	f__Pelagibacteraceae 100.0%
f__QHBO01	5	1	f__(o__Burkholderiales) 100.0%
f__UMGS1908	5	1	f__(o__Burkholderiales) 100.0%
f__UBA8910	5	1	f__(o__Burkholderiales) 100.0%
f__SLHA01	5	1	f__(o__Burkholderiales) 100.0%
f__PUNB01	5	1	f__(o__Burkholderiales) 100.0%
f__CSBR16-193	5	1	f__(o__Burkholderiales) 100.0%
f__SXTU01	5	1	f__(o__Burkholderiales) 100.0%
f__Herpetosiphonaceae	5	2	f__Herpetosiphonaceae(o__Herpetosiphonales) 80.0%, f__(o__Burkholderiales) 20.0%
f__BuS5	5	2	f__Desulfobacteraceae 80.0%, f__(o__Burkholderiales) 20.0%
f__Thermaerobacteraceae	5	2	f__Clostridiales Family XVII. Incertae Sedis(o__Clostridiales) 80.0%, f__(o__Burkholderiales) 20.0%
f__Holosporaceae	5	2	f__Holosporaceae 80.0%, f__(o__Burkholderiales) 20.0%
f__Thalassobaculaceae	5	2	f__Rhodospirillaceae(o__Rhodospirillales) 80.0%, f__(o__Burkholderiales) 20.0%
f__Afifellaceae	5	2	f__Rhodobiaceae 80.0%, f__(o__Burkholderiales) 20.0%
f__Tepidibacillaceae	5	2	f__Bacillaceae(o__Bacillales) 80.0%, f__(o__Burkholderiales) 20.0%
f__Amorphaceae	5	2	f__Rhodobacteraceae(o__Rhodobacterales) 80.0%, f__Rhodobiaceae 20.0%
f__UBA8248	5	2	f__(o__Burkholderiales) 80.0%, f__Nitrospinaceae(o__Nitrospinales) 20.0%
f__TMED26	5	2	f__Rhodospirillaceae(o__Rhodospirillales) 80.0%, f__(o__Burkholderiales) 20.0%
f__UTPLA1	5	2	f__(o__Burkholderiales) 80.0%, f__Planctomycetaceae(o__Planctomycetales) 20.0%
f__Quadrisphaeraceae	5	2	f__Kineosporiaceae(o__Kineosporiales) 80.0%, f__Streptomycetaceae(o__Streptomycetales) 20.0%
f__UBA5348	5	2	f__(o__Burkholderiales) 80.0%, f__Clostridiaceae(o__Clostridiales) 20.0%
f__79-D21	5	2	f__Synergistaceae 80.0%, f__(o__Burkholderiales) 20.0%
f__SZUA-229	5	2	f__(o__Burkholderiales) 80.0%, f__Thiotrichaceae(o__Thiotrichales) 20.0%
f__Thermoleophilaceae	5	2	f__(o__Burkholderiales) 80.0%, f__Thermoleophilaceae(o__Thermoleophilales) 20.0%
f__UBA11471	5	2	f__Porphyromonadaceae 80.0%, f__Bacteroidaceae 20.0%
f__Thermosediminibacteraceae	5	3	f__Thermoanaerobacterales Family III. Incertae Sedis(o__Thermoanaerobacterales) 60.0%, f__Thermoanaerobacteraceae(o__Thermoanaerobacterales) 20.0%, f__(o__Burkholderiales) 20.0%
f__Chitinispirillaceae	5	2	f__(o__Burkholderiales) 60.0%, f__Chitinispirillaceae(o__Chitinispirillales) 40.0%
f__UBA9217	5	2	f__(o__Burkholderiales) 60.0%, f__Nitrospiraceae(o__Nitrospirales) 40.0%
f__Sulfuriferulaceae	5	3	f__Gallionellaceae(o__Nitrosomonadales) 60.0%, f__Thiobacillaceae(o__Nitrosomonadales) 20.0%, f__ 20.0%
f__Rubricoccaceae	5	2	f__Rubricoccaceae 60.0%, f__Rhodothermaceae(o__Bacteroidetes Order II. Incertae sedis) 40.0%
f__Dethiobacteraceae	5	3	f__(o__Burkholderiales) 60.0%, f__Syntrophomonadaceae(o__Clostridiales) 20.0%, f__Peptococcaceae(o__Clostridiales) 20.0%
f__UBA8231	5	2	f__(o__Burkholderiales) 60.0%, f__Gemmatimonadaceae(o__Gemmatimonadales) 40.0%
f__UBA3663	5	2	f__(o__Burkholderiales) 60.0%, f__Prevotellaceae 40.0%
f__Desulfobaccaceae	5	2	f__(o__Burkholderiales) 60.0%, f__Syntrophaceae(o__Syntrophobacterales) 40.0%
f__UBA11063	5	2	f__Neisseriaceae(o__Neisseriales) 60.0%, f__ 40.0%
f__Geminicoccaceae	5	2	f__(o__Burkholderiales) 60.0%, f__Geminicoccaceae(o__Rhodospirillales) 40.0%
f__UBA1255	5	3	f__Clostridiaceae(o__Clostridiales) 60.0%, f__Hungateiclostridiaceae(o__Clostridiales) 20.0%, f__(o__Burkholderiales) 20.0%
f__UBA2363	5	2	f__Rhodanobacteraceae 60.0%, f__(o__Burkholderiales) 40.0%
f__Chthoniobacteraceae	5	3	f__Chthoniobacteraceae 40.0%, f__(o__Burkholderiales) 40.0%, f__Verrucomicrobiaceae(o__Verrucomicrobiales) 20.0%
f__Berkiellaceae	5	3	f__Coxiellaceae(o__Legionellales) 40.0%, f__(o__Burkholderiales) 40.0%, f__Francisellaceae(o__Thiotrichales) 20.0%
f__Hippeaceae	4	1	f__Desulfurellaceae 100.0%
f__Bacillaceae_J	4	1	f__Bacillaceae 100.0%
f__Chitinimonadaceae	4	1	f__Burkholderiaceae 100.0%
f__Gallaecimonadaceae	4	1	f__(o__Burkholderiales) 100.0%
f__Dongiaceae	4	1	f__Rhodospirillaceae(o__Rhodospirillales) 100.0%
f__Ammonificaceae	4	1	f__Thermoanaerobacteraceae(o__Thermoanaerobacterales) 100.0%
f__Acidihalobacteraceae	4	1	f__Ectothiorhodospiraceae(o__Chromatiales) 100.0%
f__Oceanibaculaceae	4	1	f__Rhodospirillaceae(o__Rhodospirillales) 100.0%
f__Anaerobacillaceae_A	4	1	f__Bacillaceae 100.0%
f__Carboxydothermaceae	4	1	f__Thermoanaerobacteraceae(o__Thermoanaerobacterales) 100.0%
f__Azobacteroidaceae	4	1	f__(o__Burkholderiales) 100.0%
f__Anaerofustaceae	4	1	f__Eubacteriaceae(o__Clostridiales) 100.0%
f__UBA9337-A	4	1	f__(o__Burkholderiales) 100.0%
f__UBA12411	4	1	f__(o__Burkholderiales) 100.0%
f__UBA12463	4	1	f__(o__Burkholderiales) 100.0%
f__GWA2-35-9	4	1	f__(o__Burkholderiales) 100.0%
f__GWB1-40-14	4	1	f__(o__Burkholderiales) 100.0%
f__Hepatoplasmataceae	4	1	f__Mycoplasmataceae 100.0%
f__UBA10025	4	1	f__(o__Burkholderiales) 100.0%
f__Negativicoccaceae	4	1	f__Veillonellaceae 100.0%
f__CAG-449	4	1	f__(o__Burkholderiales) 100.0%
f__NICIL-2	4	1	f__(o__Burkholderiales) 100.0%
f__D2	4	1	f__(o__Burkholderiales) 100.0%
f__DTU052	4	1	f__Syntrophomonadaceae(o__Clostridiales) 100.0%
f__Calescibacteriaceae	4	1	f__(o__Burkholderiales) 100.0%
f__UKL13-2	4	1	f__ 100.0%
f__Ga007554	4	1	f__(o__Burkholderiales) 100.0%
f__Halofilaceae	4	1	f__Ectothiorhodospiraceae(o__Chromatiales) 100.0%
f__Proteiniboraceae	4	1	f__(o__Burkholderiales) 100.0%
f__Caminicellaceae	4	1	f__Clostridiaceae(o__Clostridiales) 100.0%
f__Magnetovibrionaceae	4	1	f__Rhodospirillaceae 100.0%
f__2-12-FULL-40-28	4	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-60-11	4	1	f__(o__Burkholderiales) 100.0%
f__XYC2-FULL-46-14	4	1	f__(o__Burkholderiales) 100.0%
