GTDB R95 family	Number of genomes	Number of NCBI families	List of NCBI families
f__Desulfovibrionaceae	148	3	f__Desulfovibrionaceae 97.3%, f__(o__Burkholderiales) 2.03%, f__Marinifilaceae(o__Marinilabiliales) 0.68%
f__Eggerthellaceae	146	3	f__Eggerthellaceae(o__Eggerthellales) 80.82%, f__Coriobacteriaceae 12.33%, f__(o__Burkholderiales) 6.85%
f__Porphyromonadaceae	145	2	f__Porphyromonadaceae 98.62%, f__(o__Burkholderiales) 1.38%
f__Koribacteraceae	141	2	f__Acidobacteriaceae 80.14%, f__(o__Burkholderiales) 19.86%
f__Dermatophilaceae	141	5	f__Intrasporangiaceae(o__Micrococcales) 65.25%, f__Dermacoccaceae(o__Micrococcales) 23.4%, f__Dermatophilaceae(o__Micrococcales) 7.09%, f__(o__Burkholderiales) 3.55%, f__Corynebacteriaceae(o__Corynebacteriales) 0.71%
f__Dysgonomonadaceae	137	4	f__Dysgonamonadaceae 51.09%, f__(o__Burkholderiales) 27.74%, f__Porphyromonadaceae 20.44%, f__Prevotellaceae 0.73%
f__UBA10450	135	1	f__(o__Burkholderiales) 100.0%
f__Aerococcaceae	135	5	f__Aerococcaceae 66.67%, f__Carnobacteriaceae 29.63%, f__Enterococcaceae 1.48%, f__(o__Burkholderiales) 1.48%, f__Streptococcaceae 0.74%
f__Hyphomonadaceae	134	3	f__Hyphomonadaceae(o__Rhodobacterales) 89.55%, f__(o__Burkholderiales) 8.96%, f__Caulobacteraceae 1.49%
f__Rhodanobacteraceae	131	3	f__Rhodanobacteraceae 90.84%, f__(o__Burkholderiales) 6.11%, f__Xanthomonadaceae 3.05%
f__Methylophilaceae	130	2	f__Methylophilaceae(o__Nitrosomonadales) 82.31%, f__ 17.69%
f__Microcystaceae	130	8	f__Microcystaceae(o__Chroococcales) 73.85%, f__Aphanothecaceae(o__Chroococcales) 12.31%, f__Merismopediaceae(o__Synechococcales) 6.92%, f__(o__Burkholderiales) 3.08%, f__Cyanothecaceae(o__Oscillatoriales) 1.54%, f__Hyellaceae(o__Pleurocapsales) 0.77%, f__Hydrococcaceae(o__Pleurocapsales) 0.77%, f__Coelosphaeriaceae(o__Synechococcales) 0.77%
f__Cellulomonadaceae	129	7	f__Cellulomonadaceae(o__Micrococcales) 48.84%, f__Promicromonosporaceae(o__Micrococcales) 33.33%, f__Sanguibacteraceae(o__Micrococcales) 6.2%, f__Jonesiaceae(o__Micrococcales) 6.2%, f__(o__Burkholderiales) 3.1%, f__Rarobacteraceae(o__Micrococcales) 1.55%, f__Streptosporangiaceae(o__Streptosporangiales) 0.78%
f__UBA2163	127	1	f__(o__Burkholderiales) 100.0%
f__Paludibacteraceae	122	4	f__(o__Burkholderiales) 90.16%, f__Paludibacteraceae 5.74%, f__Porphyromonadaceae 3.28%, f__Prevotellaceae 0.82%
f__Balneolaceae	120	4	f__Balneolaceae 90.0%, f__(o__Burkholderiales) 8.33%, f__Chitinophagaceae(o__Chitinophagales) 0.83%, f__Rhodothermaceae(o__Bacteroidetes Order II. Incertae sedis) 0.83%
f__Selenomonadaceae	119	3	f__Selenomonadaceae 84.03%, f__Veillonellaceae(o__Veillonellales) 8.4%, f__(o__Burkholderiales) 7.56%
f__Gastranaerophilaceae	113	6	f__(o__Burkholderiales) 86.73%, f__Clostridiaceae(o__Clostridiales) 6.19%, f__Moraxellaceae(o__Pseudomonadales) 2.65%, f__Fusobacteriaceae(o__Fusobacteriales) 1.77%, f__Brachyspiraceae(o__Brachyspirales) 1.77%, f__Heliobacteriaceae(o__Clostridiales) 0.88%
f__Saccharimonadaceae	112	1	f__(o__Burkholderiales) 100.0%
f__SM1A02	112	3	f__(o__Burkholderiales) 87.5%, f__Phycisphaeraceae 7.14%, f__Planctomycetaceae(o__Planctomycetales) 5.36%
f__Sedimenticolaceae	111	2	f__(o__Burkholderiales) 99.1%, f__Chromatiaceae 0.9%
f__Thermaceae	108	2	f__Thermaceae(o__Thermales) 99.07%, f__(o__Burkholderiales) 0.93%
f__Rikenellaceae	108	2	f__Rikenellaceae 99.07%, f__(o__Burkholderiales) 0.93%
f__Spirosomaceae	105	2	f__Cytophagaceae 95.24%, f__(o__Burkholderiales) 4.76%
f__Nitrosomonadaceae	105	2	f__Nitrosomonadaceae(o__Nitrosomonadales) 93.33%, f__ 6.67%
f__UBA6960	102	2	f__(o__Burkholderiales) 99.02%, f__Gemmatimonadaceae(o__Gemmatimonadales) 0.98%
f__Alcanivoracaceae	100	2	f__Alcanivoracaceae(o__Oceanospirillales) 99.0%, f__(o__Burkholderiales) 1.0%
f__Anaerovoracaceae	100	4	f__(o__Burkholderiales) 54.0%, f__Clostridiales Family XIII. Incertae Sedis(o__Clostridiales) 30.0%, f__Eubacteriaceae(o__Clostridiales) 15.0%, f__Peptostreptococcaceae(o__Clostridiales) 1.0%
f__HTCC2089	99	1	f__(o__Burkholderiales) 100.0%
f__Methylomonadaceae	99	3	f__Methylococcaceae 85.86%, f__(o__Burkholderiales) 11.11%, f__Crenotrichaceae 3.03%
f__UBA7960	96	1	f__(o__Burkholderiales) 100.0%
f__CAG-508	95	3	f__Clostridiaceae(o__Clostridiales) 87.37%, f__(o__Burkholderiales) 11.58%, f__Lachnospiraceae(o__Clostridiales) 1.05%
f__Anaerolineaceae	94	2	f__Anaerolineaceae 90.43%, f__(o__Burkholderiales) 9.57%
f__CAG-826	92	2	f__(o__Burkholderiales) 88.04%, f__Erysipelotrichaceae(o__Erysipelotrichales) 11.96%
f__Coxiellaceae	91	2	f__Coxiellaceae(o__Legionellales) 86.81%, f__(o__Burkholderiales) 13.19%
f__Exiguobacteraceae	90	1	f__(o__Burkholderiales) 100.0%
f__Pseudohongiellaceae	90	1	f__(o__Burkholderiales) 100.0%
f__Pirellulaceae	89	2	f__Planctomycetaceae(o__Planctomycetales) 96.63%, f__(o__Burkholderiales) 3.37%
f__Brevibacillaceae	89	2	f__Paenibacillaceae(o__Bacillales) 95.51%, f__Bacillaceae(o__Bacillales) 4.49%
f__Thioalkalivibrionaceae	88	1	f__Ectothiorhodospiraceae(o__Chromatiales) 100.0%
