GTDB R95 species	Number of genomes	Number of NCBI species	List of NCBI species
s__Tateyamaria sp900143535	1	1	s__(g__Flavobacterium) 100.0%
s__Saccharospirillum sp003054965	1	1	s__(g__Flavobacterium) 100.0%
s__Sulfotelmatobacter kueseliae	1	1	s__Candidatus Sulfotelmatobacter kueseliae 100.0%
s__Streptomyces sp002941025	1	1	s__(g__Flavobacterium) 100.0%
s__Thermotoga sp002865985	1	1	s__(g__Flavobacterium) 100.0%
s__Flavobacterium sp003254585	1	1	s__ 100.0%
s__Paracoccus sp002901215	1	1	s__(g__Flavobacterium) 100.0%
s__SH-1 sp003008555	1	1	s__(g__Flavobacterium) 100.0%
s__Psychrobacter sp002836735	1	1	s__(g__Flavobacterium) 100.0%
s__Nocardia sp003123685	1	1	s__(g__Flavobacterium) 100.0%
s__Sphingorhabdus_A sp900258045	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotella sp003043925	1	1	s__(g__Flavobacterium) 100.0%
s__Rhodococcus sp003051005	1	1	s__(g__Flavobacterium) 100.0%
s__Peptostreptococcus sp900240845	1	1	s__(g__Flavobacterium) 100.0%
s__Devosia sp003056355	1	1	s__(g__Flavobacterium) 100.0%
s__Aequorivita sp900489465	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces sp003032475	1	1	s__(g__Flavobacterium) 100.0%
s__Dysgonomonas sp900343125	1	1	s__(g__Flavobacterium) 100.0%
s__Palleronia aestuarii	1	1	s__Hwanghaeicola aestuarii 100.0%
s__Pseudomonas_E sp003208475	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudarthrobacter sp002929465	1	1	s__(g__Flavobacterium) 100.0%
s__Paenisporosarcina sp003058165	1	1	s__(g__Flavobacterium) 100.0%
s__Azospirillum thiophilum_A	1	1	s__(g__Flavobacterium) 100.0%
s__Amycolatopsis sp002904295	1	1	s__(g__Flavobacterium) 100.0%
s__Nocardioides sp003053885	1	1	s__(g__Flavobacterium) 100.0%
s__Paenibacillus_R sp003060825	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudanabaena sp002914585	1	1	s__(g__Flavobacterium) 100.0%
s__Pantoea sp003236715	1	1	s__(g__Flavobacterium) 100.0%
s__Phycorickettsia trachydisci	1	1	s__Candidatus Phycorickettsia trachydisci 100.0%
s__Muricauda sp003058265	1	1	s__(g__Flavobacterium) 100.0%
s__Pedobacter sp003054115	1	1	s__(g__Flavobacterium) 100.0%
s__Arthrobacter_D pityocampae	1	1	s__Arthrobacter pityocampae 100.0%
s__Allorhizobium sp002855515	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces sp003024195	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces_B yanglinensis	1	1	s__Streptomyces yanglinensis 100.0%
s__Micromonospora sp003172935	1	1	s__(g__Flavobacterium) 100.0%
s__Paenibacillus_AB sp003217775	1	1	s__(g__Flavobacterium) 100.0%
s__Aliterella sp003003885	1	1	s__(g__Flavobacterium) 100.0%
s__Limosilactobacillus pontis_A	1	1	s__Lactobacillus pontis 100.0%
s__Halobacillus_A sp900240285	1	1	s__(g__Flavobacterium) 100.0%
s__Halomonas sp003202205	1	1	s__(g__Flavobacterium) 100.0%
s__Microbacterium sp002979435	1	1	s__(g__Flavobacterium) 100.0%
s__Sulfopaludibacter sp900290315	1	1	s__(g__Flavobacterium) 100.0%
s__Dehalogenimonas sp002878295	1	1	s__(g__Flavobacterium) 100.0%
s__R4HLG17 sp003012345	1	1	s__(g__Flavobacterium) 100.0%
s__Aquimarina sp900312735	1	1	s__(g__Flavobacterium) 100.0%
s__Saccharomonospora shujinwangii	1	1	s__Prauserella shujinwangii 100.0%
s__Terrimicrobium sp003054655	1	1	s__(g__Flavobacterium) 100.0%
s__Bosea sp003208615	1	1	s__(g__Flavobacterium) 100.0%
s__Dietzia sp003052165	1	1	s__(g__Flavobacterium) 100.0%
s__Pararhodobacter sp003122215	1	1	s__(g__Flavobacterium) 100.0%
s__Paramesorhizobium leguminum	1	1	s__Phyllobacterium leguminum 100.0%
s__Pseudomonas_D oceani	1	1	s__Pseudomonas oceani 100.0%
s__Alsobacter sp003004785	1	1	s__(g__Flavobacterium) 100.0%
s__Paraburkholderia sp003121405	1	1	s__(g__Flavobacterium) 100.0%
s__Mesorhizobium_D ephedrae	1	1	s__Mesorhizobium ephedrae 100.0%
s__Capnocytophaga sp002999135	1	1	s__(g__Flavobacterium) 100.0%
s__Limnohabitans sp003063355	1	1	s__(g__Flavobacterium) 100.0%
s__Macrococcus_B epidermidis	1	1	s__Macrococcus epidermidis 100.0%
s__Chroogloeocystis sp002964865	1	1	s__(g__Flavobacterium) 100.0%
s__Aliarcobacter sp003063295	1	1	s__(g__Flavobacterium) 100.0%
s__Lactococcus piscium_D	1	1	s__Lactococcus piscium 100.0%
s__Bacillus_AY sp003259415	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces sp002920635	1	1	s__(g__Flavobacterium) 100.0%
s__Paenibacillus_F sp900107975	1	1	s__(g__Flavobacterium) 100.0%
s__Corynebacterium sp002967075	1	1	s__(g__Flavobacterium) 100.0%
s__Achromobacter sp002975275	1	1	s__(g__Flavobacterium) 100.0%
s__Lactiplantibacillus sp002970915	1	1	s__(g__Flavobacterium) 100.0%
s__Enterobacter sp003057745	1	1	s__(g__Flavobacterium) 100.0%
s__RQJ05 sp003063625	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_F sp003234055	1	1	s__(g__Flavobacterium) 100.0%
s__Paraburkholderia sp002973525	1	1	s__(g__Flavobacterium) 100.0%
s__Helicobacter_F equorum_A	1	1	s__Helicobacter equorum 100.0%
s__Chlorobium_A sp003182595	1	1	s__(g__Flavobacterium) 100.0%
s__Geothermobacter sp002898515	1	1	s__(g__Flavobacterium) 100.0%
s__Roseomonas_A sp003173615	1	1	s__(g__Flavobacterium) 100.0%
s__Agaribacterium sp003265435	1	1	s__(g__Flavobacterium) 100.0%
s__Phenylobacterium sp003254475	1	1	s__(g__Flavobacterium) 100.0%
s__Chitinophaga sp003182155	1	1	s__(g__Flavobacterium) 100.0%
s__Dyella jiangningensis_C	1	1	s__Dyella jiangningensis 100.0%
s__Nitrosomonas sp003011925	1	1	s__(g__Flavobacterium) 100.0%
s__Sphingomonas_H oleivorans	1	1	s__Sphingomonas oleivorans 100.0%
s__Pseudoprimorskyibacter insulae	1	1	s__Primorskyibacter insulae 100.0%
s__Shewanella sp002873615	1	1	s__(g__Flavobacterium) 100.0%
s__Pauljensenia odontolytica	1	1	s__Schaalia odontolytica 100.0%
s__Arthrobacter_A psychrolactophilus	1	1	s__Arthrobacter psychrolactophilus 100.0%
s__Micromonospora sp003236315	1	1	s__(g__Flavobacterium) 100.0%
s__Proteus sp003144505	1	1	s__(g__Flavobacterium) 100.0%
s__SCGC-AAA027-K21 sp003003055	1	1	s__(g__Flavobacterium) 100.0%
s__Sphingorhabdus_A sp900149705	1	1	s__(g__Flavobacterium) 100.0%
s__Bosea sp002917105	1	1	s__(g__Flavobacterium) 100.0%
s__Novosphingobium sp003208375	1	1	s__(g__Flavobacterium) 100.0%
s__Nitrosomonas sp003046215	1	1	s__(g__Flavobacterium) 100.0%
s__Caulobacter sp003116815	1	1	s__(g__Flavobacterium) 100.0%
s__MZ-XQ sp002838185	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E sp003151075	1	1	s__(g__Flavobacterium) 100.0%
s__Anaerococcus sp900290195	1	1	s__(g__Flavobacterium) 100.0%
s__EW11 sp003054665	1	1	s__(g__Flavobacterium) 100.0%
s__Pleurocapsa sp003003995	1	1	s__(g__Flavobacterium) 100.0%
s__OACT-916 sp003260275	1	1	s__(g__Flavobacterium) 100.0%
s__Amaricoccus sp003258405	1	1	s__(g__Flavobacterium) 100.0%
s__Cypionkella sp002900965	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces_D sp003258605	1	1	s__(g__Flavobacterium) 100.0%
s__Clostridium_AO liquoris	1	1	s__Clostridium liquoris 100.0%
s__Rhodococcus sp003130705	1	1	s__(g__Flavobacterium) 100.0%
s__QFRU01 sp003184905	1	1	s__(g__Flavobacterium) 100.0%
s__Marinomonas sp003259175	1	1	s__(g__Flavobacterium) 100.0%
s__CCP5 sp003017785	1	1	s__(g__Flavobacterium) 100.0%
s__Microvirga sp003151255	1	1	s__(g__Flavobacterium) 100.0%
s__Nocardioides sp003121585	1	1	s__(g__Flavobacterium) 100.0%
s__Cumulibacter sp900292035	1	1	s__(g__Flavobacterium) 100.0%
s__Lachnoclostridium_A edouardi	1	1	s__Lachnoclostridium edouardi 100.0%
s__Bacillus_AA massiliogabonensis	1	1	s__Bacillus massiliogabonensis 100.0%
s__Kaistella humi	1	1	s__Chryseobacterium humi 100.0%
s__Methylocella silvestris_A	1	1	s__Methylocella silvestris 100.0%
s__Ruegeria sp900143525	1	1	s__(g__Flavobacterium) 100.0%
s__Cyanobium minutissimum	1	1	s__Aphanothece minutissima 100.0%
s__Acuticoccus sp003258595	1	1	s__(g__Flavobacterium) 100.0%
s__Novosphingobium sp003171715	1	1	s__(g__Flavobacterium) 100.0%
s__B210 sp003260125	1	1	s__(g__Flavobacterium) 100.0%
s__Dorea sp900312975	1	1	s__(g__Flavobacterium) 100.0%
s__Streptomyces nondiastaticus	1	1	s__Streptosporangium nondiastaticum 100.0%
s__Chromobacterium sp002924365	1	1	s__(g__Flavobacterium) 100.0%
s__Kinetoplastibacterium sorsogonicusi	1	1	s__Candidatus Kinetoplastibacterium sorsogonicusi 100.0%
s__Zobellella_C endophytica	1	1	s__Zobellella endophytica 100.0%
s__QKVK01 sp003234965	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudarthrobacter sp002929215	1	1	s__(g__Flavobacterium) 100.0%
s__Kocuria sp003226895	1	1	s__(g__Flavobacterium) 100.0%
s__Halomonas sp003254665	1	1	s__(g__Flavobacterium) 100.0%
s__Azospira sp003112695	1	1	s__(g__Flavobacterium) 100.0%
s__Salinicola sp003206065	1	1	s__(g__Flavobacterium) 100.0%
s__Martelella mediterranea_A	1	1	s__Martelella mediterranea 100.0%
s__Mycobacterium sp002887815	1	1	s__(g__Flavobacterium) 100.0%
s__Colwellia_A sp003061515	1	1	s__(g__Flavobacterium) 100.0%
s__Arenibacter sp003201775	1	1	s__(g__Flavobacterium) 100.0%
s__Alteromonas_A sp002993365	1	1	s__(g__Flavobacterium) 100.0%
s__Porphyrobacter sp002952215	1	1	s__(g__Flavobacterium) 100.0%
s__Prevotellamassilia sp002933955	1	1	s__(g__Flavobacterium) 100.0%
s__Actinomyces sp900323545	1	1	s__(g__Flavobacterium) 100.0%
s__Providencia sp002843235	1	1	s__(g__Flavobacterium) 100.0%
s__Dokdonia sp003095655	1	1	s__(g__Flavobacterium) 100.0%
s__Bosea sp003046175	1	1	s__(g__Flavobacterium) 100.0%
s__Curtobacterium sp003234115	1	1	s__(g__Flavobacterium) 100.0%
s__Clostridium_AO tetanomorphum	1	1	s__Clostridium tetanomorphum 100.0%
s__Xanthomarina spongicola	1	1	s__Formosa spongicola 100.0%
s__Actinoplanes ferrugineus	1	1	s__Pseudosporangium ferrugineum 100.0%
s__Desulfonatronum sp003046795	1	1	s__(g__Flavobacterium) 100.0%
s__Paenibacillus_T cellulosilyticus	1	1	s__Paenibacillus cellulosilyticus 100.0%
s__Arthrobacter globiformis_A	1	1	s__Arthrobacter globiformis 100.0%
s__Defluviimonas_C aquaemixtae	1	1	s__Defluviimonas aquaemixtae 100.0%
s__Limnohabitans sp003063415	1	1	s__(g__Flavobacterium) 100.0%
s__Arthrobacter sp002892795	1	1	s__(g__Flavobacterium) 100.0%
s__Kitasatospora tateyamensis	1	1	s__Streptomyces tateyamensis 100.0%
s__Pseudomonas_E mendocina_C	1	1	s__Pseudomonas mendocina 100.0%
s__Vibrio sp002873395	1	1	s__(g__Flavobacterium) 100.0%
s__Kitasatospora sp002943525	1	1	s__(g__Flavobacterium) 100.0%
s__Curtobacterium sp003234175	1	1	s__(g__Flavobacterium) 100.0%
s__Rhizobium sp002944315	1	1	s__(g__Flavobacterium) 100.0%
s__Thermomonospora echinospora	1	1	s__Actinomadura echinospora 100.0%
s__Pseudarthrobacter sp003287955	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E sp003052585	1	1	s__(g__Flavobacterium) 100.0%
s__Paraburkholderia sp003253405	1	1	s__(g__Flavobacterium) 100.0%
s__Sulfobium mesophilum	1	1	s__Candidatus Sulfobium mesophilum 100.0%
s__Roseovarius sp003260265	1	1	s__(g__Flavobacterium) 100.0%
s__Candidimonas_A sp002849655	1	1	s__(g__Flavobacterium) 100.0%
s__Nitrosospira sp003046405	1	1	s__(g__Flavobacterium) 100.0%
s__Mycobacterium sp900240945	1	1	s__(g__Flavobacterium) 100.0%
s__Aurantibacter aestuarii	1	1	s__Mesoflavibacter aestuarii 100.0%
s__Erythrobacter sp900149685	1	1	s__(g__Flavobacterium) 100.0%
s__OEMS01 sp900199405	1	1	s__(g__Flavobacterium) 100.0%
s__Nocardioides sp003160695	1	1	s__(g__Flavobacterium) 100.0%
s__Hungatella xylanolytica	1	1	s__Bacteroides xylanolyticus 100.0%
s__Chroogloeocystis sp002939305	1	1	s__(g__Flavobacterium) 100.0%
s__Bacillus_AA oceanisediminis_A	1	1	s__Bacillus oceanisediminis 100.0%
s__Arthrobacter_D sp002929355	1	1	s__(g__Flavobacterium) 100.0%
s__Chryseobacterium sp002899825	1	1	s__(g__Flavobacterium) 100.0%
s__Aurantimicrobium sp003194085	1	1	s__(g__Flavobacterium) 100.0%
s__Nitrosospira sp003050965	1	1	s__(g__Flavobacterium) 100.0%
s__Arthrobacter_D sp002929375	1	1	s__(g__Flavobacterium) 100.0%
s__Brachybacterium sp002871795	1	1	s__(g__Flavobacterium) 100.0%
s__Helicobacter_E baculiformis	1	1	s__Helicobacter baculiformis 100.0%
s__Pseudomonas_E sp002901475	1	1	s__(g__Flavobacterium) 100.0%
s__Ornithinicoccus sp003121625	1	1	s__(g__Flavobacterium) 100.0%
s__WD6-1 sp003122085	1	1	s__(g__Flavobacterium) 100.0%
s__Pedobacter sp003054145	1	1	s__(g__Flavobacterium) 100.0%
s__Vibrio penaeicida_A	1	1	s__Vibrio penaeicida 100.0%
s__Vallitalea_A okinawensis	1	1	s__(g__Flavobacterium) 100.0%
s__Lutibacter sp003260195	1	1	s__(g__Flavobacterium) 100.0%
s__SCGC-AAA027-K21 sp003058465	1	1	s__(g__Flavobacterium) 100.0%
s__Acidibacillus_A sulfuroxidans	1	1	s__Acidibacillus sulfuroxidans 100.0%
s__Deinococcus sp002953415	1	1	s__(g__Flavobacterium) 100.0%
s__Butyrivibrio sp900108105	1	1	s__(g__Flavobacterium) 100.0%
s__Octadecabacter sp003072065	1	1	s__(g__Flavobacterium) 100.0%
s__Methylomirabilis limnetica	1	1	s__Candidatus Methylomirabilis limnetica 100.0%
s__Salinicola sp003206645	1	1	s__(g__Flavobacterium) 100.0%
s__Pseudomonas_E sp002878485	1	1	s__(g__Flavobacterium) 100.0%
s__Paenibacillus_I sp003233845	1	1	s__(g__Flavobacterium) 100.0%
s__Mesonia sp003233725	1	1	s__(g__Flavobacterium) 100.0%
s__Phreatobacter sp000751295	1	1	s__(g__Flavobacterium) 100.0%
s__UBA6560 sp003013695	1	1	s__(g__Flavobacterium) 100.0%
s__Limnohabitans sp003063315	1	1	s__(g__Flavobacterium) 100.0%
s__UBA2357 sp002872475	1	1	s__(g__Flavobacterium) 100.0%
s__Anaerotruncus massiliensis_A	1	1	s__Marasmitruncus massiliensis 100.0%
s__Aquimarina sp900299505	1	1	s__(g__Flavobacterium) 100.0%
s__FEB-35 sp003105225	1	1	s__(g__Flavobacterium) 100.0%
s__UBA2730 sp900313345	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1213 sp900317395	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1777 sp900319695	1	1	s__(g__Flavobacterium) 100.0%
s__UBA3855 sp900316885	1	1	s__(g__Flavobacterium) 100.0%
s__UBA3792 sp900318745	1	1	s__(g__Flavobacterium) 100.0%
s__Mogibacterium sp900320285	1	1	s__(g__Flavobacterium) 100.0%
s__RUG760 sp900322165	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_E sp900315785	1	1	s__(g__Flavobacterium) 100.0%
s__RUG678 sp900321335	1	1	s__(g__Flavobacterium) 100.0%
s__RUG762 sp900316455	1	1	s__(g__Flavobacterium) 100.0%
s__Clostridium_R sp900321915	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1066 sp900319795	1	1	s__(g__Flavobacterium) 100.0%
s__RUG705 sp900321645	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1213 sp900315465	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-433 sp900320735	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1777 sp900320595	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-1483 sp003166915	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_E sp900320995	1	1	s__(g__Flavobacterium) 100.0%
s__Eubacterium_A sp900315125	1	1	s__(g__Flavobacterium) 100.0%
s__Fibrobacter sp900313675	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_E sp900317595	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-1000 sp900313815	1	1	s__(g__Flavobacterium) 100.0%
s__RUG420 sp900318715	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_E sp900318905	1	1	s__(g__Flavobacterium) 100.0%
s__Eubacterium_T sp900318155	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1213 sp900315875	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-103 sp900317905	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-475 sp900322215	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1213 sp900322105	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1213 sp900322145	1	1	s__(g__Flavobacterium) 100.0%
s__RUG740 sp900321945	1	1	s__(g__Flavobacterium) 100.0%
s__RUG592 sp900313125	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-83 sp900317425	1	1	s__(g__Flavobacterium) 100.0%
s__Mogibacterium sp900318105	1	1	s__(g__Flavobacterium) 100.0%
s__RUG708 sp900321625	1	1	s__(g__Flavobacterium) 100.0%
s__BM512 sp002869015	1	1	s__(g__Flavobacterium) 100.0%
s__RUG714 sp900321665	1	1	s__(g__Flavobacterium) 100.0%
s__RUG592 sp900315715	1	1	s__(g__Flavobacterium) 100.0%
s__RUG762 sp900316495	1	1	s__(g__Flavobacterium) 100.0%
s__RUG626 sp900320765	1	1	s__(g__Flavobacterium) 100.0%
s__Mogibacterium sp900315625	1	1	s__(g__Flavobacterium) 100.0%
s__RUG762 sp900321515	1	1	s__(g__Flavobacterium) 100.0%
s__RUG100 sp900315555	1	1	s__(g__Flavobacterium) 100.0%
s__RUG159 sp900316145	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1213 sp900320925	1	1	s__(g__Flavobacterium) 100.0%
s__UBA3857 sp900313585	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1213 sp900317215	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1777 sp900316255	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_E sp900316385	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-580 sp003249585	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_E sp900316815	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1213 sp900317795	1	1	s__(g__Flavobacterium) 100.0%
s__UBA3633 sp900313535	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1213 sp900319255	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-127 sp900321145	1	1	s__(g__Flavobacterium) 100.0%
s__Eubacterium_R sp900316345	1	1	s__(g__Flavobacterium) 100.0%
s__Binatus sp003135855	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-177 sp900319455	1	1	s__(g__Flavobacterium) 100.0%
s__RUG756 sp900322115	1	1	s__(g__Flavobacterium) 100.0%
s__GCA-900199385 sp900318145	1	1	s__(g__Flavobacterium) 100.0%
s__RUG727 sp900321795	1	1	s__(g__Flavobacterium) 100.0%
s__SZUA-265 sp003235365	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1066 sp900314565	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_E sp900313895	1	1	s__(g__Flavobacterium) 100.0%
s__Eubacterium_H sp900319355	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1213 sp900316925	1	1	s__(g__Flavobacterium) 100.0%
s__RUG592 sp900320535	1	1	s__(g__Flavobacterium) 100.0%
s__Clostridium sp900317445	1	1	s__(g__Flavobacterium) 100.0%
s__UBA2862 sp900317565	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1777 sp900319935	1	1	s__(g__Flavobacterium) 100.0%
s__UBA2856 sp900321365	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1201 sp900319565	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-603 sp900321855	1	1	s__(g__Flavobacterium) 100.0%
s__Eubacterium_Q sp900321505	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_D sp900314975	1	1	s__(g__Flavobacterium) 100.0%
s__GCA-900199385 sp900322155	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-603 sp900314555	1	1	s__(g__Flavobacterium) 100.0%
s__BM512 sp002869005	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_E sp900316435	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1213 sp900320235	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_D sp900318545	1	1	s__(g__Flavobacterium) 100.0%
s__Faecalimonas sp900316755	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1777 sp900316205	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_E sp900319615	1	1	s__(g__Flavobacterium) 100.0%
s__BOG-1502 sp003134035	1	1	s__(g__Flavobacterium) 100.0%
s__UBA3792 sp900318765	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1213 sp900316485	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1777 sp900319635	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1213 sp900321195	1	1	s__(g__Flavobacterium) 100.0%
s__RUG821 sp900313545	1	1	s__(g__Flavobacterium) 100.0%
s__Firm-16 sp900317035	1	1	s__(g__Flavobacterium) 100.0%
s__UBA2856 sp900313765	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-964 sp900316025	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1066 sp900320575	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1777 sp900319835	1	1	s__(g__Flavobacterium) 100.0%
s__Eubacterium_F sp900319095	1	1	s__(g__Flavobacterium) 100.0%
s__RUG666 sp900321185	1	1	s__(g__Flavobacterium) 100.0%
s__UBA3076 sp003194485	1	1	s__(g__Flavobacterium) 100.0%
s__UBA3076 sp003194495	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-590 sp900313855	1	1	s__(g__Flavobacterium) 100.0%
s__UBA3855 sp900319285	1	1	s__(g__Flavobacterium) 100.0%
s__Eubacterium_H sp900318755	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-1483 sp003158175	1	1	s__(g__Flavobacterium) 100.0%
s__Clostridium_R sp900321355	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_E sp900318495	1	1	s__(g__Flavobacterium) 100.0%
s__UBA2730 sp900319955	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_E sp900313865	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-103 sp900316745	1	1	s__(g__Flavobacterium) 100.0%
s__RUG762 sp900322085	1	1	s__(g__Flavobacterium) 100.0%
s__RUG592 sp900315255	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1081 sp900321595	1	1	s__(g__Flavobacterium) 100.0%
s__GCA-900199385 sp900315315	1	1	s__(g__Flavobacterium) 100.0%
s__Fibrobacter sp900316465	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1777 sp900320465	1	1	s__(g__Flavobacterium) 100.0%
s__Binatus sp003161515	1	1	s__(g__Flavobacterium) 100.0%
s__BOG-1112 sp003136475	1	1	s__(g__Flavobacterium) 100.0%
s__GCA-900199385 sp900320755	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_E sp900315195	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-1504 sp003133745	1	1	s__(g__Flavobacterium) 100.0%
s__UBA2943 sp900321565	1	1	s__(g__Flavobacterium) 100.0%
s__Eubacterium_F sp900318295	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1777 sp900321275	1	1	s__(g__Flavobacterium) 100.0%
s__RUG842 sp900313775	1	1	s__(g__Flavobacterium) 100.0%
s__FEN-1099 sp003170555	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_E sp900317875	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_E sp900320415	1	1	s__(g__Flavobacterium) 100.0%
s__RUG592 sp900317025	1	1	s__(g__Flavobacterium) 100.0%
s__UBA2943 sp900321295	1	1	s__(g__Flavobacterium) 100.0%
s__Eubacterium_R sp900321905	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1259 sp900320065	1	1	s__(g__Flavobacterium) 100.0%
s__CAG-603 sp900315425	1	1	s__(g__Flavobacterium) 100.0%
s__Saccharofermentans sp900314745	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1066 sp900320615	1	1	s__(g__Flavobacterium) 100.0%
s__RUG592 sp900317815	1	1	s__(g__Flavobacterium) 100.0%
s__RUG591 sp900320425	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1081 sp900314355	1	1	s__(g__Flavobacterium) 100.0%
s__RUG740 sp900316415	1	1	s__(g__Flavobacterium) 100.0%
s__Oribacterium sp900318695	1	1	s__(g__Flavobacterium) 100.0%
s__RUG762 sp900317765	1	1	s__(g__Flavobacterium) 100.0%
s__Ruminococcus_E sp900315815	1	1	s__(g__Flavobacterium) 100.0%
s__RUG563 sp900320085	1	1	s__(g__Flavobacterium) 100.0%
s__RUG612 sp900320605	1	1	s__(g__Flavobacterium) 100.0%
s__F23-D06 sp900317715	1	1	s__(g__Flavobacterium) 100.0%
s__AG2 sp003222065	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900319685	1	1	s__(g__Flavobacterium) 100.0%
s__UBA1711 sp900316515	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900318355	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900319375	1	1	s__(g__Flavobacterium) 100.0%
s__PALSA-926 sp003153235	1	1	s__(g__Flavobacterium) 100.0%
s__Palsa-1483 sp003133185	1	1	s__(g__Flavobacterium) 100.0%
s__Bosea sp003241815	1	1	s__(g__Flavobacterium) 100.0%
s__RF16 sp900319995	1	1	s__(g__Flavobacterium) 100.0%
s__F082 sp900321315	1	1	s__(g__Flavobacterium) 100.0%
s__AV40 sp003219495	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900320795	1	1	s__(g__Flavobacterium) 100.0%
s__AV2 sp003218515	1	1	s__(g__Flavobacterium) 100.0%
s__RC9 sp900319855	1	1	s__(g__Flavobacterium) 100.0%
s__AV55 sp003219435	1	1	s__(g__Flavobacterium) 100.0%
s__AG41 sp003220905	1	1	s__(g__Flavobacterium) 100.0%
s__AV55 sp003218735	1	1	s__(g__Flavobacterium) 100.0%
s__AV69 sp003221405	1	1	s__(g__Flavobacterium) 100.0%
s__20CM-2-65-7 sp003221985	1	1	s__(g__Flavobacterium) 100.0%
