GTDB R95 order	Number of genomes	Number of NCBI orders	List of NCBI orders	
o__UBA1400	128	2	o__(c__Tissierellia) 99.22%, o__Pseudomonadales(c__Gammaproteobacteria) 0.78%	
o__Phycisphaerales	128	3	o__(c__Tissierellia) 52.34%, o__Phycisphaerales 39.84%, o__Planctomycetales(c__Planctomycetia) 7.81%	Planctomycetes
o__Pedosphaerales	122	2	o__Verrucomicrobiales 81.15%, o__(c__Tissierellia) 18.85%	
o__Selenomonadales	120	3	o__Selenomonadales 88.33%, o__Veillonellales 9.17%, o__(c__Tissierellia) 2.5%	
o__Marinisomatales	119	1	o__(c__Tissierellia) 100.0%	
o__Gastranaerophilales	119	6	o__(c__Tissierellia) 61.34%, o__Candidatus Gastranaerophilales(c__) 26.05%, o__Clostridiales(c__Clostridia) 6.72%, o__Pseudomonadales(c__Gammaproteobacteria) 2.52%, o__Fusobacteriales(c__Fusobacteriia) 1.68%, o__Brachyspirales(c__Spirochaetia) 1.68%	
o__Syntrophales	115	2	o__Syntrophobacterales(c__Deltaproteobacteria) 92.17%, o__(c__Tissierellia) 7.83%	
o__Acholeplasmatales	115	5	o__Acholeplasmatales(c__Mollicutes) 76.52%, o__(c__Tissierellia) 17.39%, o__Bacillales 3.48%, o__Clostridiales(c__Clostridia) 1.74%, o__Anaeroplasmatales(c__Mollicutes) 0.87%	
o__Moranbacterales	111	1	o__(c__Tissierellia) 100.0%	
o__SG8-23	108	2	o__(c__Tissierellia) 66.67%, o__Gemmatimonadales 33.33%	-
o__Ectothiorhodospirales	107	2	o__Chromatiales 99.07%, o__(c__Tissierellia) 0.93%	
o__Nanopelagicales	106	6	o__(c__Tissierellia) 71.7%, o__Candidatus Nanopelagicales(c__Actinobacteria) 16.04%, o__Micrococcales(c__Actinobacteria) 5.66%, o__Actinomycetales(c__Actinobacteria) 2.83%, o__Streptomycetales(c__Actinobacteria) 2.83%, o__Rhodothermales(c__Rhodothermia) 0.94%	Terrabacteria group
o__GWA2-44-7	105	1	o__(c__Tissierellia) 100.0%	
o__TANB77	104	1	o__Clostridiales 100.0%	
o__Synergistales	103	2	o__Synergistales 96.12%, o__(c__Tissierellia) 3.88%	
o__Desulfobacterales	103	2	o__Desulfobacterales(c__Deltaproteobacteria) 87.38%, o__(c__Tissierellia) 12.62%	
